iter	Accuracy	Logloss
392	0.9764309764	0.1262052398
393	0.9764309764	0.1260075369
394	0.9764309764	0.1255555464
395	0.9764309764	0.1252575833
396	0.9764309764	0.1247471286
397	0.9764309764	0.1244333671
398	0.9764309764	0.1239223349
399	0.9764309764	0.1231593007
400	0.9764309764	0.1229190267
401	0.9764309764	0.1221351834
402	0.9764309764	0.1217202082
403	0.9764309764	0.1215460278
404	0.9764309764	0.1210914124
405	0.9764309764	0.1209975803
406	0.9764309764	0.1205588777
407	0.9764309764	0.1201488602
408	0.9764309764	0.1199259024
409	0.9764309764	0.1198446642
410	0.9764309764	0.1196367166
411	0.9764309764	0.1194316629
412	0.9764309764	0.1190985589
413	0.9764309764	0.1188016437
414	0.9764309764	0.1186199072
415	0.9764309764	0.1184638396
416	0.9764309764	0.1178823711
417	0.9764309764	0.1174975741
418	0.9764309764	0.1173057405
419	0.9764309764	0.1172384144
420	0.9781144781	0.1169478657
421	0.9781144781	0.1167820104
422	0.9781144781	0.1160404894
423	0.9781144781	0.1159136241
424	0.9781144781	0.1158566913
425	0.9781144781	0.1158043313
426	0.9781144781	0.1154686373
427	0.9781144781	0.1153043189
428	0.9781144781	0.1149305687
429	0.9781144781	0.114891799
430	0.9781144781	0.114523707
431	0.9781144781	0.1142324224
432	0.9781144781	0.1139451675
433	0.9781144781	0.1136085192
434	0.9781144781	0.1133856292
435	0.9797979798	0.1131037801
436	0.9797979798	0.1129332778
437	0.9797979798	0.1127355959
438	0.9797979798	0.1126959056
439	0.9797979798	0.1121602453
440	0.9797979798	0.1120144251
441	0.9797979798	0.1118585841
442	0.9797979798	0.1115088022
443	0.9797979798	0.1111021866
444	0.9797979798	0.1109312919
445	0.9797979798	0.1108125273
446	0.9797979798	0.1105395099
447	0.9814814815	0.1101597598
448	0.9814814815	0.1101140127
449	0.9814814815	0.110054481
450	0.9814814815	0.1098555974
451	0.9814814815	0.1096041228
452	0.9814814815	0.1092677411
453	0.9814814815	0.1088683492
454	0.9814814815	0.1085292886
455	0.9814814815	0.108427414
456	0.9814814815	0.1082986988
457	0.9814814815	0.1082231034
458	0.9814814815	0.1078986507
459	0.9814814815	0.1075299675
460	0.9814814815	0.1071202787
461	0.9814814815	0.1069666523
462	0.9814814815	0.1067614721
463	0.9814814815	0.1067028929
464	0.9814814815	0.1065061086
465	0.9797979798	0.1063527339
466	0.9797979798	0.1061045206
467	0.9797979798	0.105862831
468	0.9797979798	0.1058055419
469	0.9797979798	0.1056527916
470	0.9797979798	0.1054746977
471	0.9797979798	0.1052523279
472	0.9797979798	0.1049573313
473	0.9797979798	0.1048218097
474	0.9797979798	0.1045569286
475	0.9797979798	0.1042661218
476	0.9797979798	0.1041020714
477	0.9814814815	0.1038834576
478	0.9814814815	0.1037540056
479	0.9797979798	0.1036606563
480	0.9814814815	0.1035992599
481	0.9797979798	0.1033632238
482	0.9814814815	0.1032423835
483	0.9814814815	0.1028934679
484	0.9814814815	0.1028054201
485	0.9814814815	0.1024982619
486	0.9831649832	0.1023369147
487	0.9814814815	0.1018390168
488	0.9831649832	0.1016600378
489	0.9848484848	0.1013920753
490	0.9848484848	0.1012510595
491	0.9848484848	0.1011387724
492	0.9848484848	0.1010255447
493	0.9865319865	0.1007988085
494	0.9865319865	0.1005894275
495	0.9865319865	0.1004868461
496	0.9882154882	0.100156163
497	0.9882154882	0.1001214219
498	0.9882154882	0.1000208071
499	0.9882154882	0.09974685824
