iter	Accuracy	Logloss
429	0.9494949495	0.1770572036
430	0.9494949495	0.1769426649
431	0.9494949495	0.1764765132
432	0.9494949495	0.1763089518
433	0.9494949495	0.1760856372
434	0.9494949495	0.1760275999
435	0.9494949495	0.1756116855
436	0.9494949495	0.1755275407
437	0.9494949495	0.1750389711
438	0.9494949495	0.1748994683
439	0.9494949495	0.1747847028
440	0.9494949495	0.1743574332
441	0.9494949495	0.1742677126
442	0.9494949495	0.1739816155
443	0.9494949495	0.1736713698
444	0.950617284	0.1732111787
445	0.950617284	0.1725771283
446	0.950617284	0.1724032743
447	0.950617284	0.1722694684
448	0.9517396184	0.1721259482
449	0.9517396184	0.1719254492
450	0.9517396184	0.1713683708
451	0.9517396184	0.1707309889
452	0.9517396184	0.1706747335
453	0.9528619529	0.1703241528
454	0.9517396184	0.1700740257
455	0.9517396184	0.169949889
456	0.9539842873	0.1695255739
457	0.9562289562	0.1691079478
458	0.9551066218	0.1688447666
459	0.9551066218	0.1685497806
460	0.9551066218	0.1682980212
461	0.9562289562	0.1678730504
462	0.9562289562	0.1676512284
463	0.9562289562	0.1675579566
464	0.9562289562	0.1674150154
465	0.9562289562	0.1672490466
466	0.9562289562	0.1668018934
467	0.9562289562	0.1666565678
468	0.9562289562	0.1663443605
469	0.9562289562	0.1657740097
470	0.9562289562	0.1652974512
471	0.9562289562	0.1649845574
472	0.9562289562	0.1643518662
473	0.9573512907	0.163951235
474	0.9573512907	0.1637430839
475	0.9573512907	0.1635593844
476	0.9573512907	0.1633568511
477	0.9573512907	0.1631729578
478	0.9573512907	0.1627641009
479	0.9573512907	0.1626522707
480	0.9584736251	0.1622221097
481	0.9584736251	0.1617804966
482	0.9584736251	0.1615281263
483	0.9584736251	0.161431536
484	0.9584736251	0.1611978906
485	0.9584736251	0.1611497464
486	0.9584736251	0.1609894915
487	0.9584736251	0.1608566202
488	0.9595959596	0.160524218
489	0.9595959596	0.1602483731
490	0.9595959596	0.1599242767
491	0.9595959596	0.1596311273
492	0.9595959596	0.1593933379
493	0.9595959596	0.1592641543
494	0.9595959596	0.1588613795
495	0.9595959596	0.1585306324
496	0.9595959596	0.1582624356
497	0.9595959596	0.1578593083
498	0.9595959596	0.1576562187
499	0.9595959596	0.1573927622
